id,series,difficulty,tags,question,correct_answer,wrong_1,wrong_2,wrong_3,source_note,review_notes
blc-001,Bleach,easy,,What is the name of Ichigo Kurosaki's Zanpakuto?,Zangetsu,Zabimaru,Hyorinmaru,Senbonzakura,Agent of the Shinigami arc.,
blc-002,Bleach,easy,,Which squad does Byakuya Kuchiki captain?,Squad 6,Squad 10,Squad 11,Squad 13,Soul Society arc.,
blc-003,Bleach,easy,,What is the name of Byakuya's Bankai?,Senbonzakura Kageyoshi,Hihio Zabimaru,Daiguren Hyorinmaru,Tensa Zangetsu,First shown against Ichigo on Sokyoku Hill.,
blc-004,Bleach,easy,,Who transfers her Soul Reaper powers to Ichigo in the very first episode?,Rukia Kuchiki,Orihime Inoue,Rangiku Matsumoto,Yoruichi Shihoin,Episode 1.,
blc-005,Bleach,easy,,"What is the release command for Byakuya's Shikai, Senbonzakura?",Scatter,Howl,Roar,Growl,"'Howl' is Zabimaru, 'Roar' is Zangetsu's evolved form in some translations; Senbonzakura is 'Scatter'.",
blc-006,Bleach,easy,,In which town does Ichigo live?,Karakura Town,Naruki City,Rukongai,Seireitei,Naruki City is Ginjo's home turf in the Fullbring arc.,
blc-007,Bleach,easy,,What kind of stuffed animal does the Mod Soul Kon live in?,A lion,A rabbit,A bear,A pig,"Kon's plush lion body, from the Agent of the Shinigami arc onward.",
blc-008,Bleach,easy,,Who is the lieutenant of Squad 6 under Byakuya?,Renji Abarai,Izuru Kira,Shuhei Hisagi,Tetsuzaemon Iba,Soul Society arc.,
blc-009,Bleach,easy,,What is the name of Ichigo's Bankai?,Tensa Zangetsu,Zangetsu Kageyoshi,Getsuga Tensho,Mugetsu,Achieved during the Soul Society arc.,
blc-010,Bleach,easy,,Uryu Ishida belongs to which group of Hollow-hunting humans?,The Quincy,The Fullbringers,The Bounts,The Visoreds,Introduced in the Agent of the Shinigami arc.,
blc-011,Bleach,easy,,What is the world that Hollows come from called?,Hueco Mundo,Soul Society,The Dangai,Las Noches,Las Noches is Aizen's palace inside Hueco Mundo.,
blc-012,Bleach,easy,,Aizen's ten strongest Arrancar are known as the...?,Espada,Sternritter,Fraccion,Privaron,Arrancar arc.,
blc-013,Bleach,easy,,Which captain betrays Soul Society at the end of the Soul Society arc?,Sosuke Aizen,Kisuke Urahara,Byakuya Kuchiki,Kenpachi Zaraki,Together with Gin Ichimaru and Kaname Tosen.,
blc-014,Bleach,easy,,What is Sosuke Aizen's Zanpakuto called?,Kyoka Suigetsu,Shinso,Suzumushi,Ryujin Jakka,Its Shikai is Complete Hypnosis.,
blc-015,Bleach,easy,,Who is the Head Captain of the 13 Court Guard Squads when the series begins?,Genryusai Shigekuni Yamamoto,Shunsui Kyoraku,Jushiro Ukitake,Retsu Unohana,Soul Society arc.,
blc-016,Bleach,easy,,Kenpachi Zaraki is the captain of which squad?,Squad 11,Squad 2,Squad 7,Squad 9,Soul Society arc.,
blc-017,Bleach,easy,,What is Rukia Kuchiki's Zanpakuto?,Sode no Shirayuki,Hyorinmaru,Haineko,Tobiume,First released in the Bount arc in the anime; Arrancar arc in the manga.,
blc-018,Bleach,easy,,Renji Abarai's Zanpakuto is named...?,Zabimaru,Hozukimaru,Wabisuke,Kazeshini,Soul Society arc.,
blc-019,Bleach,easy,,Toshiro Hitsugaya's Zanpakuto is...?,Hyorinmaru,Sode no Shirayuki,Ryujin Jakka,Benihime,Soul Society arc.,
blc-020,Bleach,easy,,What is Ichigo's signature energy slash called?,Getsuga Tensho,Cero,Sokatsui,Senka,Senka is Byakuya's flash-step technique.,
blc-021,Bleach,easy,,"What colour is Ichigo's hair, which constantly gets him into fights?",Orange,Red,White,Blond,Episode 1.,
blc-022,Bleach,easy,,What is Ichigo's official title while working for Soul Society?,Substitute Soul Reaper,Captain of Squad 14,Special War Power,Head Quincy,He receives the Substitute badge after the Soul Society arc.,
blc-023,Bleach,easy,,Byakuya is Rukia's...?,Adoptive older brother,Biological father,Husband,Cousin,Soul Society arc; explained fully at Rukia's execution.,
blc-024,Bleach,easy,,Orihime's power is centred on which accessory?,Her hairpins,Her necklace,Her ring,Her bracelet,The Shun Shun Rikka live in her hairpins.,
blc-025,Bleach,easy,,Who runs the shop in Karakura Town that sells Soul Reaper goods?,Kisuke Urahara,Isshin Kurosaki,Don Kanonji,Kugo Ginjo,The Urahara Shop.,
blc-026,Bleach,easy,,"Which Espada is number 6, the Sexta?",Grimmjow Jaegerjaquez,Ulquiorra Cifer,Nnoitra Gilga,Coyote Starrk,Arrancar arc.,
blc-027,Bleach,easy,,Ulquiorra Cifer holds which Espada number?,4,1,6,9,The Cuatro Espada.,
blc-028,Bleach,easy,,What is the walled city at the centre of Soul Society where the Soul Reapers live?,Seireitei,Rukongai,Las Noches,Karakura,Soul Society arc.,
blc-029,Bleach,easy,,Who is the Quincy emperor who invades Soul Society in the Thousand-Year Blood War?,Yhwach,Jugram Haschwalth,Askin Nakk Le Vaar,Bazz-B,Thousand-Year Blood War arc.,
blc-030,Bleach,easy,,What is Yasutora Sado better known as?,Chad,Sado-kun,Big Guy,Yasu,Ichigo misread his name as Chad and it stuck.,
blc-031,Bleach,easy,,What does Ichigo's father Isshin run?,A small medical clinic,A ramen shop,A dojo,A candy store,The Kurosaki Clinic.,
blc-032,Bleach,easy,,Ichigo's younger sisters are named...?,Karin and Yuzu,Momo and Nanao,Hisana and Rukia,Ururu and Jinta,Episode 1.,
blc-033,Bleach,easy,,Who is the captain of Squad 12 and head of the Department of Research and Development?,Mayuri Kurotsuchi,Kisuke Urahara,Sajin Komamura,Shinji Hirako,Urahara founded the department but Mayuri runs it during the series.,
blc-034,Bleach,easy,,What is the name of Gin Ichimaru's Zanpakuto?,Shinso,Kyoka Suigetsu,Suzumushi,Wabisuke,"'Shoot to kill, Shinso.'",
blc-035,Bleach,easy,,Yoruichi Shihoin can transform into what animal?,A black cat,A white fox,A crow,A dog,Introduced as a talking cat in the Agent of the Shinigami arc.,
blc-036,Bleach,medium,,"What was the name of Byakuya's late wife, Rukia's older sister?",Hisana,Masaki,Yachiru,Nanao,Revealed after Rukia's execution is stopped.,
blc-037,Bleach,medium,,On whose graves did Byakuya swear never to break Soul Society's laws again?,His parents',Hisana's,His grandfather's,Yamamoto's,He broke the rules once by adopting Rukia and swore on his parents' graves never to do so again.,
blc-038,Bleach,medium,,Where does Ichigo's climactic fight with Byakuya take place?,Sokyoku Hill,The Senzaikyu,Kuchiki Manor,The Squad 6 barracks,Soul Society arc.,
blc-039,Bleach,medium,,What is the Sokyoku?,The giant halberd used for Rukia's execution,Byakuya's family heirloom sword,The gate to the Royal Palace,A Kido barrier around Seireitei,It transforms into the fire phoenix Kikoo when released.,
blc-040,Bleach,medium,,"Who was Byakuya's grandfather, the previous captain of Squad 6?",Ginrei Kuchiki,Koga Kuchiki,Sojun Kuchiki,Ichibe Hyosube,Sojun was Byakuya's father and a lieutenant; Ginrei was the captain.,
blc-041,Bleach,medium,,The white hair ornaments Byakuya wears mark him as...?,The head of a noble family,A Kido master,A member of the Royal Guard,A former Squad 2 officer,"The kenseikan, worn by the head of the Kuchiki clan.",
blc-042,Bleach,hard,,"According to Byakuya, his Ginpaku Kazahana no Uzuginu scarf is worth enough to buy how many mansions?",Ten,One,Fifty,A hundred,He says it while fighting Ichigo in the Soul Society arc: the scarf alone could buy ten mansions.,
blc-043,Bleach,medium,,How many days did Ichigo have to achieve Bankai before Rukia's execution?,Three,Ten,One,Seven,Urahara's Tenshintai lets Zangetsu materialise for three days.,
blc-044,Bleach,medium,,Who trains Ichigo to control his inner Hollow?,The Visoreds,The Quincy,Squad Zero,The Fullbringers of Xcution,Arrancar arc.,
blc-045,Bleach,medium,,Which Espada's Resurreccion is Murcielago?,Ulquiorra Cifer,Grimmjow Jaegerjaquez,Tier Harribel,Zommari Rureaux,Hueco Mundo arc.,
blc-046,Bleach,medium,,"Who is the Primera, the number 1 Espada?",Coyote Starrk,Baraggan Louisenbairn,Tier Harribel,Nnoitra Gilga,Fake Karakura Town arc.,
blc-047,Bleach,medium,,"Nel, the childlike Arrancar Ichigo meets in Hueco Mundo, is actually a former...?",Espada number 3,Fraccion of Grimmjow,Soul Reaper lieutenant,Quincy,"Nelliel Tu Odelschwanck, the former Tres Espada.",
blc-048,Bleach,medium,,What is the orb Aizen extracts from Rukia's body called?,The Hogyoku,The Oken,The Soul King's heart,The Reishi core,Soul Society arc finale.,
blc-049,Bleach,medium,,Kenpachi's eyepatch was made by Squad 12 in order to...?,Eat away most of his spiritual power,Hide a missing eye,Let him see Hollows,Block Kido,Revealed in his fight with Ichigo.,
blc-050,Bleach,medium,,"What is the name of Kenpachi Zaraki's Zanpakuto, finally revealed in the Thousand-Year Blood War?",Nozarashi,Yachiru,Sanpo Kenju,Minazuki,Thousand-Year Blood War arc.,
blc-051,Bleach,medium,,Who kills Head Captain Yamamoto?,Yhwach,Sosuke Aizen,Jugram Haschwalth,Kenpachi Zaraki,"After Yamamoto destroys the impostor Royd Lloyd, the real Yhwach kills him.",
blc-052,Bleach,medium,,What is the name of Yhwach's ability that lets him see every possible future?,The Almighty,The Balance,The Visionary,The Miracle,Thousand-Year Blood War arc.,
blc-053,Bleach,medium,,Ichigo's mother Masaki was secretly a...?,Quincy,Soul Reaper,Fullbringer,Hollow,Revealed by Isshin in the Thousand-Year Blood War arc.,
blc-054,Bleach,medium,,Which Hollow killed Ichigo's mother?,Grand Fisher,Shrieker,Acidwire,Metastacia,Agent of the Shinigami arc; Isshin later finishes him.,
blc-055,Bleach,medium,,Renji's Bankai is called...?,Hihio Zabimaru,Daiguren Hyorinmaru,Ryumon Hozukimaru,Kokujo Tengen Myo'o,Soul Society arc.,
blc-056,Bleach,medium,,Which captain is famous as the youngest captain in Soul Society's history?,Toshiro Hitsugaya,Byakuya Kuchiki,Gin Ichimaru,Soi Fon,Soul Society arc.,
blc-057,Bleach,medium,,"Rukia's former lieutenant, whom she was forced to kill when a Hollow possessed him, was...?",Kaien Shiba,Ganju Shiba,Isshin Shiba,Kukaku Shiba,Soul Society arc flashback; the Hollow was Metastacia.,
blc-058,Bleach,medium,,How does Ichigo's group break into the Seireitei?,Fired from Kukaku Shiba's cannon,Through the West Gate,Through a Garganta,Disguised as Squad 4 members,"Jidanbo opened the gate but Gin slammed it shut, so Kukaku fires them in.",
blc-059,Bleach,medium,,"Before defecting, Aizen captained which squad?",Squad 5,Squad 3,Squad 9,Squad 12,Gin was Squad 3 and Tosen Squad 9.,
blc-060,Bleach,medium,,Which Squad 11 officer secretly has a Bankai that he hides from the rest of the squad?,Ikkaku Madarame,Yumichika Ayasegawa,Tetsuzaemon Iba,Makizo Aramaki,"Ryumon Hozukimaru, shown in the Arrancar arc.",
blc-061,Bleach,medium,,Which Espada's number changes from 10 to 0 when he releases?,Yammy Llargo,Szayelaporro Granz,Aaroniero Arruruerie,Zommari Rureaux,Hueco Mundo arc.,
blc-062,Bleach,medium,,What is an Arrancar's sword release called?,Resurreccion,Bankai,Vollstandig,Fullbring,Arrancar arc.,
blc-063,Bleach,medium,,What is the name of Rukia's Bankai?,Hakka no Togame,Sode no Shirayuki Kageyoshi,Hakuren,Juhaku,"Thousand-Year Blood War arc, against As Nodt.",
blc-064,Bleach,medium,,"How many Great Noble Families are there in Soul Society, the Kuchiki clan among them?",Four,Two,Seven,Thirteen,The Four Great Noble Families.,
blc-065,Bleach,medium,,Which captain used to play tag with a young Byakuya and tease him?,Yoruichi Shihoin,Kisuke Urahara,Shunsui Kyoraku,Retsu Unohana,Turn Back the Pendulum flashback; she calls him 'Little Byakuya'.,
blc-066,Bleach,medium,,Which Sternritter nearly kills Byakuya during the first Quincy invasion?,As Nodt,Bambietta Basterbine,Bazz-B,Gremmy Thoumeaux,Thousand-Year Blood War arc; As Nodt uses Byakuya's own stolen Bankai.,
blc-067,Bleach,medium,,Renji and Rukia grew up together in which district of the Rukongai?,Inuzuri,Junrinan,Zaraki,Kusajishi,"District 78, Inuzuri.",
blc-068,Bleach,medium,,What is the highest class of Menos Grande?,Vasto Lorde,Adjuchas,Gillian,Privaron Espada,Explained by Hitsugaya in the Arrancar arc.,
blc-069,Bleach,medium,,Ichigo and Orihime's son is named...?,Kazui,Ichika,Kaien,Sora,Final chapter; Ichika is Renji and Rukia's daughter.,
